date_time,DJIA_Price,DJIA_Open,DJIA_High,DJIA_Low,DJIA_Vol.,DJIA_Change %
2006-10-01,12080.73,11678.99,12167.02,11653.06,5540000000.0,3.44
2006-09-01,11679.07,11382.75,11741.99,11323.84,4490000000.0,2.62
2006-08-01,11381.15,11184.8,11407.08,11042.64,4620000000.0,1.75
2006-07-01,11185.68,11149.34,11257.08,10683.32,5550000000.0,0.32
2006-06-01,11150.22,11169.03,11285.82,10698.85,6920000000.0,-0.16
2006-05-01,11168.31,11367.78,11670.19,11030.47,7300000000.0,-1.75
2006-04-01,11367.14,11113.0,11417.66,11039.12,5580000000.0,2.32
2006-03-01,11109.32,10993.25,11334.96,10922.73,6680000000.0,1.05
2006-02-01,10993.41,10862.14,11159.18,10737.67,5760000000.0,1.18
2006-01-01,10864.86,10718.3,11047.76,10661.15,6430000000.0,1.37
2005-12-01,10717.5,10806.03,10940.34,10709.42,5220000000.0,-0.82
2005-11-01,10805.87,10437.51,10959.79,10388.76,5390000000.0,3.5
2005-10-01,10440.07,10569.5,10608.56,10156.46,5830000000.0,-1.22
2005-09-01,10568.7,10481.44,10701.81,10350.96,5220000000.0,0.83
2005-08-01,10481.6,10641.78,10719.41,10349.37,5080000000.0,-1.5
2005-07-01,10640.91,10273.59,10717.73,10175.4,4820000000.0,3.56
2005-06-01,10274.97,10462.86,10656.29,10253.49,5030000000.0,-1.84
2005-05-01,10467.48,10192.0,10560.81,10075.55,4840000000.0,2.7
2005-04-01,10192.51,10504.57,10568.93,10000.46,5850000000.0,-2.96
2005-03-01,10503.76,10769.04,10984.46,10396.24,5820000000.0,-2.44
2005-02-01,10766.23,10489.72,10853.43,10489.64,5040000000.0,2.63
2005-01-01,10489.94,10783.75,10867.39,10368.61,5300000000.0,-2.72
2004-12-01,10783.01,10425.8,10868.07,10418.63,5740000000.0,3.4
2004-11-01,10428.02,10028.73,10602.85,10010.15,5610000000.0,3.99
2004-10-01,10027.47,10082.04,10270.37,9708.4,5290000000.0,-0.52
2004-09-01,10080.27,10170.12,10363.36,9977.92,4630000000.0,-0.92
2004-08-01,10173.92,10138.45,10211.25,9783.91,3720000000.0,0.34
2004-07-01,10139.71,10434.0,10448.09,9913.92,4450000000.0,-2.83
2004-06-01,10435.48,10187.18,10487.54,10134.86,4110000000.0,2.42
2004-05-01,10188.45,10227.27,10386.32,9852.19,4020000000.0,-0.36
2004-04-01,10225.57,10357.52,10570.81,10219.18,4530000000.0,-1.28
2004-03-01,10357.7,10582.25,10695.55,10007.49,4970000000.0,-2.14
2004-02-01,10583.92,10487.78,10753.63,10434.67,3820000000.0,0.91
2004-01-01,10488.07,10452.74,10705.18,10367.41,4380000000.0,0.33
2003-12-01,10453.92,9785.35,10462.44,9785.35,4170000000.0,6.86
2003-11-01,9782.46,9802.46,9903.57,9585.5,3550000000.0,-0.19
2003-10-01,9801.12,9276.8,9850.01,9276.8,4790000000.0,5.67
2003-09-01,9275.06,9416.67,9686.08,9230.47,4390000000.0,-1.49
2003-08-01,9415.82,9232.68,9499.97,8997.11,3810000000.0,1.97
2003-07-01,9233.8,8983.66,9361.4,8871.2,4910000000.0,2.76
2003-06-02,8985.44,8851.45,9352.77,8851.45,248180000.0,0.0
2003-06-01,8985.44,8851.45,9352.77,8851.45,4990000000.0,1.53
2003-05-01,8850.26,8478.48,8868.33,8340.23,4870000000.0,4.37
2003-04-01,8480.09,7992.83,8559.77,7979.69,5130000000.0,6.11
2003-03-03,7992.13,7890.24,8522.18,7416.64,281790000.0,0.0
2003-03-01,7992.13,7890.24,8522.18,7416.64,5620000000.0,1.28
2003-02-03,7891.08,8053.74,8152.53,7628.99,245440000.0,0.0
2003-02-01,7891.08,8053.74,8152.53,7628.99,4420000000.0,-2.02
2003-01-02,8053.81,8342.38,8869.29,7917.16,273050000.0,0.0
2003-01-01,8053.81,8342.38,8869.29,7917.16,5430000000.0,-3.45
2002-12-02,8341.63,8902.95,9043.37,8242.91,228460000.0,0.0
2002-12-01,8341.63,8902.95,9043.37,8242.91,4610000000.0,-6.23
2002-11-01,8896.09,8395.64,8950.33,8298.68,5340000000.0,5.94
2002-10-01,8397.03,7593.04,8558.63,7197.49,7500000000.0,10.6
2002-09-03,7591.93,8659.27,8726.9,7460.78,298760000.0,0.0
2002-09-01,7591.93,8659.27,8726.9,7460.78,5600000000.0,-12.37
2002-08-01,8663.5,8732.58,9077.01,8030.82,5590000000.0,-0.84
2002-07-01,8736.59,9239.25,9410.38,7532.66,7660000000.0,-5.48
2002-06-03,9243.26,9923.94,9986.49,8926.57,305770000.0,0.0
2002-06-01,9243.26,9923.94,9986.49,8926.57,5800000000.0,-6.87
